rank,name,pos,team,composite_std,ppg_std,games,production_score_std,opportunity_score,oline_score,qb_quality_score,sos_score,durability_score,touches,targets,snaps
118,Blake Corum,RB,LAR,49.63,6.72,17,34.1,32.6,68.8,81.4,0.5339,100.0,153.0,14.0,307.0
119,Justin Fields,QB,KC,49.44,11.05,13,48.1,48.9,78.1,82.0,0.4855,100.0,71.0,1.0,501.0
120,Mark Andrews,TE,BAL,49.43,4.88,17,41.3,68.1,28.1,49.5,0.4629,100.0,58.0,70.0,600.0
121,Tetairoa McMillan,WR,CAR,49.26,8.32,17,52.5,71.1,21.9,27.6,0.5435,100.0,70.0,122.0,925.0
122,T.J. Hockenson,TE,MIN,49.04,4.12,15,34.2,76.5,65.6,42.2,0.4952,100.0,52.0,66.0,691.0
123,Marquise Brown,WR,PHI,48.87,5.54,16,33.7,45.5,96.9,65.4,0.4726,100.0,49.0,74.0,499.0
124,Mack Hollins,WR,NE,48.4,3.96,17,23.1,53.8,62.5,81.9,0.479,100.0,47.0,65.0,659.0
125,Brenton Strange,TE,JAX,48.38,4.24,17,35.3,49.9,9.4,77.6,0.5048,100.0,46.0,60.0,553.0
126,Cam Ward,QB,TEN,48.3,11.39,17,49.7,95.9,12.5,4.3,0.4984,100.0,39.0,0,1002.0
127,Ricky Pearsall,WR,SF,48.25,5.26,10,31.8,38.1,71.9,79.3,0.4694,100.0,38.0,53.0,480.0
128,Marvin Harrison,WR,ARI,47.82,6.68,13,41.4,50.0,34.4,57.8,0.55,100.0,41.0,73.0,566.0
129,Sean Tucker,RB,TB,47.77,4.91,17,24.1,22.1,93.8,46.1,0.5274,100.0,94.0,11.0,177.0
130,Jackson Hawes,TE,BUF,47.77,2.16,17,15.9,39.7,84.4,100.0,0.4919,100.0,16.0,19.0,465.0
131,Wan'Dale Robinson,WR,TEN,47.54,7.41,17,46.3,99.0,12.5,4.3,0.4984,100.0,95.0,140.0,973.0
132,Aaron Jones,RB,MIN,47.17,5.67,16,28.3,42.0,65.6,42.2,0.4952,100.0,160.0,41.0,366.0
133,Dalton Schultz,TE,HOU,47.04,5.63,17,48.3,63.5,18.8,36.7,0.5177,91.0,82.0,106.0,789.0
134,Josh Downs,WR,IND,46.91,4.9,16,29.4,53.0,90.6,57.2,0.4758,100.0,60.0,88.0,553.0
135,Jake Tonges,TE,SF,46.66,3.55,17,28.9,35.2,71.9,79.3,0.4694,100.0,34.0,46.0,399.0
136,Tyrone Tracy,RB,NYG,46.44,8.32,15,43.0,47.8,31.2,53.8,0.5145,100.0,212.0,48.0,496.0
137,Ty Johnson,RB,BUF,46.42,4.49,17,21.7,14.9,84.4,100.0,0.4919,100.0,74.0,33.0,310.0
138,Jordan Addison,WR,MIN,46.38,5.48,17,33.3,64.8,65.6,42.2,0.4952,100.0,44.0,79.0,652.0
139,Stefon Diggs,WR,WAS,45.84,7.37,17,46.1,50.5,3.1,47.0,0.5403,100.0,85.0,102.0,560.0
140,Tyquan Thornton,WR,KC,45.83,3.86,16,22.4,38.2,78.1,82.0,0.4855,100.0,19.0,37.0,368.0
141,Davis Allen,TE,LAR,45.78,2.28,17,17.0,50.3,68.8,81.4,0.5339,100.0,24.0,33.0,532.0
142,Tucker Kraft,TE,GB,45.65,5.01,17,42.5,58.1,15.6,41.6,0.5242,100.0,33.0,44.0,439.0
143,Sam LaPorta,TE,DET,45.65,3.94,17,32.5,53.7,43.8,56.5,0.45,100.0,40.0,49.0,517.0
144,Luther Burden,WR,CHI,45.35,5.39,15,32.7,32.0,87.5,65.4,0.5306,100.0,53.0,60.0,368.0
145,Tre Tucker,WR,LV,45.2,6.16,17,37.9,97.7,46.9,0.0,0.4887,100.0,68.0,92.0,881.0
146,Jaydon Blue,RB,PHI,44.95,3.88,5,18.3,8.8,96.9,65.4,0.4726,100.0,39.0,1.0,45.0
147,Tank Bigsby,RB,PHI,44.7,2.99,17,13.4,14.9,96.9,65.4,0.4726,100.0,66.0,4.0,101.0
148,Terrance Ferguson,TE,LAR,44.63,2.94,14,23.2,33.7,68.8,81.4,0.5339,100.0,12.0,25.0,356.0
149,Noah Gray,TE,KC,44.25,1.11,16,6.1,58.8,78.1,82.0,0.4855,100.0,21.0,37.0,509.0
150,Darius Slayton,WR,NYG,44.15,4.41,14,26.1,63.2,31.2,53.8,0.5145,100.0,37.0,63.0,690.0
